ID,Edad,Ingreso_Anual,Género,Nivel_Educativo,Estado_CivTil,Num_Hijos,Propietario_Vivienda,"Compra Realizada",Fecha_Compra
1,56.0,33917.9148202159,M,Universitario,Soltero,2,Sí,No,28 de October del 2015
2,46.0,6179.742747580887,F,Bachillerato,Divorciado,1,No,No,20 de June del 2023
3,32.0,56548.39706236502,M,Universitario,Soltero,1,No,Sí,24 de January del 2017
4,60.0,63559.02261629293,M,Maestría,Soltero,1,No,No,17 de June del 2020
5,25.0,14556.01346687242,n,Maestría,Divorciado,3,Sí,Sí,8 de October del 2017
6,38.0,34854.03942935094,F,Universitario,Casado,2,Sí,Sí,28 de April del 2015
7,56.0,,M,Maestría,,2,No,nAN,24 de June del 2021
8,36.0,80862.43204567548,n,Bachillerato,Divorciado,2,Sí,si,16 de August del 2023
9,40.0,50311.905615131116,M,Maestría,,0,Sí,No,Invalid Date
10,28.0,39079.955881562986,m,Bachillerato,Soltero,0,No,NO,15 de September del 2017
11,28.0,47256.553383427396,F,Maestría,Soltero,4,No,Sí,13 de December del 2015
12,41.0,70623.14628722277,n,Bachillerato,Casado,0,No,Sí,26 de March del 2016
13,53.0,40310.53731313197,b,Bachiller,DiBorciado,1,No,Sí,11 de August del 2017
14,57.0,38012.119900246194,F,Unibersitario,Divorciado,1,No,Sí,4 de April del 2018
15,41.0,42758.847167269516,M,Bachillerato,CaZado,1,No,SO,9 de September del 2017
16,20.0,,F,Universitario,Divorciado,99,No,Sí,11 de April del 2022
17,39.0,51840.054739921936,M,Maestría,Divorciado,4,No,No,21 de November del 2017
18,19.0,74370.17687704341,n,Maestría,Soltero,1,Sí,No,16 de April del 2022
19,41.0,54846.18909674043,F,Maestría,Casado,3,Sí,Sí,18 de January del 2019
20,61.0,46214.69746810569,M,Bachillerato,Soltero,3,Sí,No,1 de August del 2018
21,47.0,45622.83096626684,F,Maestría,CaLZado,3,Sí,SI,13 de April del 2015
22,55.0,26552.137869550144,F,,Sottero,0,Sí,Sí,8 de October del 2023
23,19.0,,M,Universitario,Divorciado,2,Sí,No,Invalid Date
24,38.0,48832.44204480797,F,Universitario,Casado,4,Sí,No,15 de November del 2023
25,50.0,47292.80129614061,F,,Casado,3,Sí,Sí,2 de December del 2020
26,29.0,97896.61351767291,n,Maestría,SOtero,3,Sí,Sí,7 de December del 2017
27,39.0,54481.2936254853,M,Bachillerato,Casado,1,SI,Sí,
28,61.0,38723.134248572234,F,BachillER,Divorciado,3,Sí,No,5 de April del 2016
29,42.0,43604.63605691685,F,Maestría,Divorciado,1,No,Sí,22 de June del 2021
30,44.0,67226.68563795132,F,Universitario,Divorciado,1,Sí,Sí,30 de July del 2016
31,59.0,51699.056158066465,M,Maestría,Soltero,2,No,Nó,28 de December del 2015
32,45.0,28425.830325239498,n,Bachillerato,Casado,0,Sí,No,8 de July del 2023
33,33.0,63788.43401862805,F,Universitario,Soltero,1,Nó,NUN,16 de December del 2015
34,32.0,,F,Universitario,Divorciado,1,Sí,Sí,
35,64.0,78099.46664326318,F,Bachillerato,Casado,2,No,Sí,16 de May del 2018
36,61.0,66200.72098571973,F,Maestría,Divorciado,1,Sí,No,10 de September del 2019
37,20.0,43290.17156511873,,,Casado,4,No,Sí,6 de January del 2016
38,54.0,nULL,M,Maestría,Casado,0,Sí,Sí,6 de April del 2015
39,24.0,nAN,M,Bachillerato,Soltero,4,No,No,16 de January del 2023
40,38.0,,F,Universitario,Casado,3,Sí,No,16 de December del 2016
41,26.0,57270.99225941712,,Bachillerato,Divorciado,0,No,Sí,11 de July del 2022
42,56.0,,M,Maestría,Casado,3,No,No,19 de March del 2017
43,35.0,40346.75251523807,M,Bachillerato,Divorciado,1,No,No,11 de February del 2020
44,21.0,65449.412263717415,M,Universitario,Soltero,2,No,Sí,Invalid Date
