ID,Edad,Ingreso_Anual,Género,Nivel_Educativo,Estado_Civil,Num_Hijos,Propietario_Vivienda,Compra_Realizada
1,56,33917.9148202159,M,Universitario,Soltero,2,Sí,No
2,46,6179.742747580887,F,Bachillerato,Divorciado,1,No,No
3,32,56548.39706236502,M,Universitario,Soltero,1,No,Sí
4,60,63559.02261629293,M,Maestría,Soltero,1,No,No
5,25,14556.01346687242,n,Maestría,Divorciado,3,Sí,Sí
6,38,34854.03942935094,F,Universitario,Casado,2,Sí,Sí
7,56,,M,Maestría,nan,2,No,nAN
8,36,80862.43204567548,n,Bachillerato,Divorciado,2,Sí,si
9,40,50311.905615131116,M,Maestría,nan,0,Sí,No
10,28,39079.955881562986,m,Bachillerato,Soltero,0,No,NO
11,28,47256.553383427396,F,Maestría,Soltero,4,No,Sí
12,41,70623.14628722277,n,Bachillerato,Casado,0,No,Sí
13,53,40310.53731313197,b,Bachiller,DiBorciado,1,No,Sí
14,57,38012.119900246194,F,Universitario,Divorciado,1,No,Sí
15,41,42758.847167269516,M,Bachillerato,CaZado,1,No,SO
16,20,,F,Universitario,Divorciado,99,No,Sí
17,39,51840.054739921936,M,Maestría,Divorciado,4,No,No
18,19,74370.17687704341,n,Maestría,Soltero,1,Sí,No
19,41,54846.18909674043,F,Maestría,Casado,3,Sí,Sí
20,61,46214.69746810569,M,Bachillerato,Soltero,3,Sí,No
21,47,45622.83096626684,F,Maestría,CaLZado,3,Sí,Sí
22,55,26552.137869550144,F,nan,Soltero,0,Sí,Sí
23,19,,M,Universitario,Divorciado,2,Sí,No
24,38,48832.44204480797,F,Universitario,Casado,4,Sí,No
25,50,47292.80129614061,F,nan,Casado,3,Sí,Sí
26,29,97896.61351767291,n,Maestría,SOtero,3,Sí,Sí
27,39,54481.2936254853,M,Bachillerato,Casado,1,Sí,Sí
28,61,38723.134248572234,F,BachillER,Divorciado,3,Sí,No
29,42,43604.63605691685,F,Maestría,Divorciado,1,No,Sí
30,44,67226.68563795132,F,Universitario,Divorciado,1,Sí,Sí
31,59,51699.056158066465,M,Maestría,Soltero,2,No,No
32,45,28425.830325239498,n,Bachillerato,Casado,0,Sí,No
33,33,63788.43401862805,F,Universitario,Soltero,1,No,No
34,32,,F,Universitario,Divorciado,1,Sí,Sí
35,64,78099.46664326318,F,Bachillerato,Casado,2,No,Sí
36,61,66200.72098571973,F,Maestría,Divorciado,1,Sí,No
37,20,43290.17156511873,F,nan,Casado,4,No,Sí
38,54,nULL,M,Maestría,Casado,0,Sí,Sí
39,24,nAN,M,Bachillerato,Soltero,4,No,No
40,38,,F,Universitario,Casado,3,Sí,No
41,26,57270.99225941712,F,Bachillerato,Divorciado,0,No,Sí
42,56,,M,Maestría,Casado,3,No,No
43,35,40346.75251523807,M,Bachillerato,Divorciado,1,No,No
44,21,65449.412263717415,M,Universitario,Soltero,2,No,Sí
45,42,44978.37001840189,F,Bachillerato,Divorciado,4,No,Sí
46,31,43945.27305137005,F,Maestría,Casado,3,No,Sí
47,26,35673.16130975971,F,Universitario,Divorciado,1,No,Sí
48,43,56353.98598390192,F,Bachillerato,nan,4,No,Sí
49,19,80937.87378864718,M,Bachillerato,Casado,4,Sí,Sí
50,37,,M,Universitario,Divorciado,3,Sí,No
51,45,50363.29185009137,M,Universitario,Casado,1,Sí,No
52,64,,M,Maestría,Soltero,2,No,No
53,24,48805.37913131427,F,Universitario,Divorciado,3,No,Sí
54,61,56785.57694374601,F,Maestría,Soltero,4,Sí,Sí
55,25,34064.0970777968,M,Bachillerato,Divorciado,4,Sí,Sí
56,64,,M,Maestría,Divorciado,0,No,Sí
57,52,nULL,M,Bachillerato,Soltero,1,No,Sí
58,31,64785.94993519795,M,Universitario,Divorciado,0,Sí,No
59,34,67810.79077347126,M,nan,Divorciado,2,No,Sí
60,53,88843.45463027922,F,Universitario,nan,3,Sí,No
61,57,58694.497598203634,F,nan,Divorciado,4,No,Sí
62,21,54886.944748732494,M,Bachillerato,Casado,1,Sí,No
