sexo,peso (kg),estatura (m),habitantes,kep,,,
F,61.00,1.56,3,87,,peso y estatura,0.653080535
M,114.00,1.74,2,173,,peso y habitantes,-0.363588377
F,62.00,1.57,2,172,,peso y kep,0.259296336
M,82.00,1.69,4,170,,estatura y hab,0.301263642
M,83.00,1.78,4,102,,estatura y kep,0.64358445
M,82.00,1.85,4,373,,habitantes kep,0.171210289
F,52.00,1.60,3,120,,,
F,49.00,1.65,5,170,,,
F,49.00,1.63,4,150,,,
,,,,,,,
,,,,,,,
GENERO FEMENINO F,,,,,,,
,peso,peso-media,(peso-media) ^2,,,,
F,61.00,6.40,40.96,,,,
F,62.00,7.40,54.76,,,,
F,52.00,-2.60,6.76,,,,
F,49.00,-5.60,31.36,,,,
F,49.00,-5.60,31.36,,,,
,,0.00,165.20,,,,
mean,54.60,,,,,,
gl,4,,,,,,
var,41.3000,41.3,,,,,
std,6.4265,6.4265,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
